,DATE,Maximum Wind Speed,Moving Avg Wind Speed,Wind Linear Model
46256,2005-08-24,5.3,2.5999999999999983,2.553080758310827
46257,2005-08-25,11.4,2.479999999999998,2.5531432372928364
46258,2005-08-26,11.9,2.0999999999999983,2.553205716274846
46259,2005-08-27,7.6,2.1799999999999984,2.553268195256848
46260,2005-08-28,6.1,2.0599999999999983,2.5533306742388575
46261,2005-08-29,8.2,1.9999999999999978,2.553393153220867
46262,2005-08-30,7.8,1.9399999999999984,2.553455632202869
46263,2005-08-31,6.0,2.0399999999999983,2.5535181111848786
46264,2005-09-01,5.9,1.9799999999999982,2.553580590166888
46265,2005-09-02,7.3,2.1399999999999983,2.5536430691488903
46266,2005-09-03,8.3,2.2399999999999984,2.5537055481308997
46267,2005-09-04,9.2,2.2799999999999985,2.553768027112909
46268,2005-09-05,7.4,2.1999999999999984,2.5538305060949114
46269,2005-09-06,8.8,2.259999999999998,2.5538929850769208
46270,2005-09-07,6.6,2.159999999999998,2.55395546405893
46271,2005-09-08,8.4,2.2599999999999985,2.5540179430409324
46272,2005-09-09,10.9,2.299999999999998,2.554080422022942
46273,2005-09-10,8.6,2.379999999999998,2.5541429010049512
46274,2005-09-11,5.9,2.2799999999999985,2.5542053799869535
46275,2005-09-12,9.7,2.1799999999999984,2.554267858968963
46276,2005-09-13,5.6,2.259999999999998,2.5543303379509723
46277,2005-09-14,6.1,2.759999999999998,2.5543928169329746
46278,2005-09-15,10.0,2.8399999999999985,2.554455295914984
46279,2005-09-16,14.6,3.219999999999998,2.5545177748969934
46280,2005-09-17,7.5,3.5399999999999983,2.5545802538789957
46281,2005-09-18,12.9,3.139999999999998,2.554642732861005
46282,2005-09-19,11.0,2.7599999999999985,2.5547052118430145
46283,2005-09-20,5.0,2.579999999999998,2.5547676908250168
46284,2005-09-21,9.2,2.0999999999999983,2.554830169807026
46285,2005-09-22,6.0,1.7799999999999983,2.5548926487890355
46286,2005-09-23,5.0,1.7799999999999983,2.554955127771038
46287,2005-09-24,6.4,1.6799999999999984,2.5550176067530472
46288,2005-09-25,4.2,1.659999999999998,2.5550800857350566
46289,2005-09-26,8.9,1.8599999999999983,2.555142564717059
46290,2005-09-27,9.4,2.139999999999998,2.5552050436990683
46291,2005-09-28,7.7,2.4399999999999986,2.5552675226810777
46292,2005-09-29,13.4,2.419999999999998,2.55533000166308
46293,2005-09-30,7.7,2.7799999999999985,2.5553924806450894
46294,2005-10-01,6.1,2.699999999999998,2.5554549596270917
46295,2005-10-02,8.5,2.5599999999999983,2.555517438609101
46296,2005-10-03,9.5,2.459999999999998,2.5555799175911105
46297,2005-10-04,10.1,2.4999999999999982,2.5556423965731128
46298,2005-10-05,10.6,2.279999999999998,2.555704875555122
46299,2005-10-06,8.9,2.1599999999999984,2.5557673545371316
46300,2005-10-07,8.4,1.959999999999998,2.555829833519134
46301,2005-10-08,5.2,1.9599999999999984,2.5558923125011432
46302,2005-10-09,6.5,1.7999999999999978,2.5559547914831526
46303,2005-10-10,8.4,1.6599999999999984,2.556017270465155
46304,2005-10-11,4.3,1.659999999999998,2.5560797494471643
46305,2005-10-12,6.7,1.6599999999999984,2.5561422284291737
46306,2005-10-13,4.1,1.619999999999998,2.556204707411176
46307,2005-10-14,4.8,1.7399999999999984,2.5562671863931854
46308,2005-10-15,8.2,2.2399999999999984,2.556329665375195
46309,2005-10-16,7.0,2.639999999999998,2.556392144357197
46310,2005-10-17,11.9,2.6799999999999984,2.5564546233392065
46311,2005-10-18,9.1,2.459999999999998,2.556517102321216
46312,2005-10-19,5.3,2.339999999999998,2.556579581303218
46313,2005-10-20,3.5,1.959999999999998,2.5566420602852276
46314,2005-10-21,5.1,1.9199999999999982,2.556704539267237
46315,2005-10-22,5.5,1.9199999999999982,2.5567670182492392
46316,2005-10-23,11.0,2.319999999999998,2.5568294972312486
46317,2005-10-24,7.3,2.659999999999998,2.556891976213258
46318,2005-10-25,9.3,2.6399999999999983,2.5569544551952603
46319,2005-10-26,10.1,2.2999999999999985,2.5570169341772697
46320,2005-10-27,8.6,2.2599999999999985,2.557079413159279
46321,2005-10-28,4.3,1.9599999999999984,2.5571418921412814
46322,2005-10-29,4.3,1.7599999999999985,2.557204371123291
46323,2005-10-30,4.3,1.6399999999999983,2.5572668501053
46324,2005-10-31,6.2,1.5999999999999983,2.5573293290873025
46325,2005-11-01,4.9,1.619999999999998,2.557391808069312
46326,2005-11-02,4.6,1.6999999999999982,2.5574542870513213
46327,2005-11-03,8.1,1.7199999999999982,2.5575167660333236
46328,2005-11-04,8.9,1.7799999999999983,2.557579245015333
46329,2005-11-05,11.4,1.8599999999999983,2.5576417239973424
46330,2005-11-06,7.7,1.8999999999999981,2.5577042029793446
46331,2005-11-07,5.7,1.739999999999998,2.557766681961354
46332,2005-11-08,5.6,1.5799999999999983,2.5578291609433634
46333,2005-11-09,4.5,1.579999999999998,2.5578916399253657
46334,2005-11-10,4.5,1.5999999999999983,2.557954118907375
46335,2005-11-11,5.0,1.7199999999999982,2.5580165978893845
46336,2005-11-12,6.2,1.9799999999999982,2.558079076871387
46337,2005-11-13,6.3,2.0399999999999983,2.558141555853396
46338,2005-11-14,6.6,2.339999999999998,2.5582040348354056
46339,2005-11-15,5.9,2.7799999999999985,2.558266513817408
46340,2005-11-16,14.9,2.9399999999999986,2.5583289927994173
46341,2005-11-17,11.2,2.899999999999998,2.5583914717814267
46342,2005-11-18,8.2,3.2999999999999985,2.558453950763429
46343,2005-11-19,6.3,3.319999999999998,2.5585164297454384
46344,2005-11-20,9.7,2.959999999999998,2.5585789087274478
46345,2005-11-21,9.5,2.9999999999999987,2.55864138770945
46346,2005-11-22,6.2,2.9999999999999982,2.5587038666914594
46347,2005-11-23,9.6,2.919999999999998,2.558766345673469
46348,2005-11-24,8.0,2.5799999999999983,2.558828824655471
46349,2005-11-25,12.0,2.4999999999999982,2.5588913036374805
46350,2005-11-26,6.6,2.5799999999999983,2.558953782619483
46351,2005-11-27,5.5,2.399999999999998,2.559016261601492
46352,2005-11-28,14.9,2.0399999999999983,2.5590787405835016
46353,2005-11-29,4.4,2.1399999999999983,2.559141219565504
46354,2005-11-30,4.4,2.1999999999999984,2.5592036985475133
